gaurimanohari|Gaurimanohara|Papanasam Sivan|
gaurimanohari|Guruleka Etuvanti Guniki|Tyagaraja|
gaurimanohari|Karunakara Paramporule|Vedanayakam Pillai|
gaurimanohari|Kaumari Gauri Velavali|M Dikshitar|
gaurimanohari|Oka Matatavelara|Pallavi Sesha Iyer|
gaurimanohari|Parai Arul|Koteswara Iyer|
gaurimanohari|Ragam Tanam Pallavi|Own/others|
gaurimanohari|Sarasasama Mrudupada|Swatitirunal|
gaurimanohari|Varalaksmi Namostute|Mysore Vasudevacar|
janjuti|Marulu Konnane|Balamurali Krishna|
kalgada|Parvati Ninnu Nera Nammiti|Syama Sastri|
kalgada|Samayamu Emarake Manasa|Tyagaraja|
kharaharapriya|Ragam Tanam Pallavi|Own/others|
kharaharapriya|Annapurneshvari Akhileshvari|Muthaiah Bagavatar|
kharaharapriya|Antari Sundari|Nila Kanta Sivan|
kharaharapriya|Appan Avataritta|Papanasam Sivan|
kharaharapriya|Aranamum Agamum|Papanasam Sivan|
kharaharapriya|Arulvay|Koteswara Iyer|
kharaharapriya|Azhagu Deivamaga Vandu|Periyasamy Turan|
kharaharapriya|Cakkani Rajamargamu|Tyagaraja|
kharaharapriya|Cetulara Shrngaramu|Tyagaraja|
kharaharapriya|Dayavillaiya Dayalo|Papanasam Sivan|
kharaharapriya|Enna Seidalum Endan|Papanasam Sivan|
kharaharapriya|Ganapatiye Karunanidhiye|Papanasam Sivan|
kharaharapriya|Gana Sudha Rasa|Mysore Vasudevacar|
kharaharapriya|Janakipate Jaya|Papanasam Sivan|
kharaharapriya|Kakka Unakkirakkam|Papanasam Sivan|
kharaharapriya|Kan Parayya|Koteswara Iyer|
kharaharapriya|Kori Sevimparare|Tyagaraja|
kharaharapriya|Madhuram Madhuram|Tanjavur Sankara Iyer|
kharaharapriya|Mitri Bhagyame|Tyagaraja|
kharaharapriya|Moovasai Konda|Muthaiah Bagavatar|
kharaharapriya|Nadaci Nadaci Cucera|Tyagaraja|
kharaharapriya|Narayana Pilicite Ravademi|Mysore Vasudevacar|
kharaharapriya|Navasiddhi Petralum|Nila Kanta Sivan|
kharaharapriya|Nidamoru Taram|Ambujam Krishna|
kharaharapriya|Ninnu Nammina Vadanu Nerama Nannubrova|Garbhapurivasa|
kharaharapriya|Pahi Rama Rama Yanucu|Tyagaraja|
kharaharapriya|Pakkala Nilabadi Golice|Tyagaraja|
kharaharapriya|Parameshvara Palayashu|Balamurali Krishna|
kharaharapriya|Paramukham Enayya|Papanasam Sivan|
kharaharapriya|Peridi Ninu Bencinavarevre|Tyagaraja|
kharaharapriya|Ragam Tanam Pallavi|Own/others|
kharaharapriya|Rama Idi Samayamu|Ambujam Krishna|
kharaharapriya|Rama Niyeda Prema Rahitulaku|Tyagaraja|
kharaharapriya|Rama Ni Samanamevaru|Tyagaraja|
kharaharapriya|Sankalpam Ettido|Patnam Subhramanya Iyer|
kharaharapriya|Sarasvati Annaiye|Papanasam Sivan|
kharaharapriya|Satatam Tavaka|Swatitirunal|
kharaharapriya|Sharanagata Vatsala|Muthaiah Bagavatar|
kharaharapriya|Shendil Andavan|Papanasam Sivan|
kharaharapriya|Shrinivasa Tava|Papanasam Sivan|
kharaharapriya|Shri Sharadambike|Lalitadasar|
kharaharapriya|Tyagarajaswami|Tiruvetriyur Tyagaraja|
kharaharapriya|Videmu Seyave Nannu Vidnadakuve|Tyagaraja|
umabharana|Hayagreeva Agastya|Muthaiah Bagavatar|
umabharana|Nija Marmamulanu Delisina|Tyagaraja|
mararanjani|Malaginen Velava|Koteswara Iyer|
mararanjani|Manasa Shri Ramuni Dayaleka|Tyagaraja|
bageshri|Gopala Bhaktim Dehi|Swatitirunal|
bageshri|Ragam Tanam Pallavi|Own/others|
bageshri|Tillana|Lalgudi Jayaraman|
bageshri|Vilaiyada Mayilum Undu|Madurai Gs Mani|
naganandini|Daksayani Raksamam|Balamurali Krishna|
naganandini|Nayen Unaiye|Koteswara Iyer|
naganandini|Sattaleni Dinamulu Vaccena|Tyagaraja|
kantamani|Bhuvaneshvari Pahimam|Balamurali Krishna|
kantamani|Edari Sancarintura|Tyagaraja|
kantamani|Nadasukham|Koteswara Iyer|
kantamani|Palintuvo Palimpava|Tyagaraja|
kantamani|Ragam Tanam Pallavi|Own/others|
bhogavasantam|Amba Shri Rajarajeshvari|Jayacamaraja Wodayar|
varunapriya|Shrngara Kumara|Koteswara Iyer|
sindhubhairavi|Chandrashekharam|Madurai Gs Mani|
sindhubhairavi|Chidambaranai Digambaranai|Madurai Gs Mani|
sindhubhairavi|Karunai Deivame|Madurai Srinivasan|
sindhubhairavi|Kuvi Azhaikka Kudada|Papanasam Sivan|
sindhubhairavi|Manadirku Ughandadu|Tanjavur Sankara Iyer|
