pratapamu||s,p,m2,p,d2,n2,s.|s.,n2,d2,p,m2,g3,r1,s|52
sarvanipriya||s,g2,p,n3,s.|s.,d2,m1,g2,r2,s|23
ratnakari||s,g3,m1,p,n2,d2,n2,s.|s.,n2,d2,p,m1,r2,s|28
abhiru||s,r1,g2,r1,m2,p,n3,s.|s.,d2,p,m2,g2,s|47
shesavahini||s,r1,g3,m1,p,n3,s.|s.,n3,m1,g3,r1,s|15
upendramati||s,g2,m1,p,d2,n2,s.|s.,n2,d2,m1,r2,g2,r2,s|22
shanakam||s,g3,m1,p,d1,n2,s.|s.,n2,p,g3,r2,s|26
ghantanam||s,r2,g2,m1,d2,n3,s.|s.,n3,d2,m1,g2,r2,s|23
shrivivardhini||s,r2,m1,p,s.|s.,n3,d2,p,m1,g3,r2,s|29
shiruni||s,r2,g3,m1,p,d1,n3,s.|s.,d1,p,g3,s|27
kotravai||s,r1,m1,p,n3,s.|s.,d1,p,m1,g2,s|9
lolangi||s,r2,m1,g2,r2,m1,p,d1,n2,s.|s.,n2,d1,m1,g2,s|20
gaulapancama||s,r2,m1,p,n3,s.|s.,n3,p,m1,g2,r2,s|24
komalavilasita||s,r1,g3,m1,d2,n2,s.|s.,n2,d2,p,m1,g3,s|16
kanakacala||s,g3,p,n3,s.|s.,d2,m1,r1,s|17
sarasavahini||s,r2,g2,r2,m1,p,d1,n3,s.|s.,d1,p,m1,g2,r2,s|21
nagadavali||s,r2,s,m1,g3,m1,p,n3,d2,n3,s.|s.,n3,d2,n3,p,m1,g3,s|29
maravibhramana||s,g3,r2,g3,m1,p,s.|s.,n3,d2,m1,g3,r2,s|29
yagini||s,r2,m2,p,n2,s.|s.,n2,p,m2,r2,s|58
susavali||s,g3,m1p,d1,n1,s.|s.,n1,d1,m1,g3,s|13
gamakasamantam||s,g2,m2,p,n3,s.|s.,n3,d1,p,m2,g2,r1,s|45
kalasaveri||s,r1,g2,p,n2,s.|s.,n2,p,g2,r1,s|8
rudrapriya||s,r2,g2,m1,p,d2,n2,s.|s.,n2,p,m1,g2,r2,s|22
eccan||s,r1,g3,m1,p,d2,n2,s.|s.,n2,p,m1,g3,s|16
citsagara||s,r2,g3,m1,p,d1,n2,s.|s.,d1,m1,r2,s|26
bhavakesari||s,r2,g2,d1,n2,s.|s.,n2,d1,g2,r2,s|20
damya||s,r2,g2,m2,p,d,s.|s.,n,d,p,m2,g2,r2,s|59
dhaamavati||s,r2,g2,m2,p,d2,n3,s.|s.,n3,d2,p,m2,g2,r2,s|59
nagakurinji||s,g3,m1,p,d2,n2,s.|s.,n2,d2,n2,p,m1,g3,s|28
dvipam||s,r1,g2,p,n3,s.|s.,d2,p,m2,g2,r1,s|47
indumati||s,g3,m2,d1,n3,s.|s.,n3,d1,p,m2,g3,s|51
govindadhanyasi||s,r2,g3,m2,p,d1,s.|s.,d1,p,m2,g3,r2,s|63
nadapriya||s,m1,g3,m1,p,d1,n3,s.|s.,n3,p,m1,g3,s|27
